2025-10-27 20:09:04,358 | INFO | Load success..

2025-10-27 20:10:04,249 | INFO | Extracting data from url..
2025-10-27 20:10:05,610 | INFO | Extracting successful..
2025-10-27 20:10:05,612 | INFO | Transforming data..
2025-10-27 20:10:05,612 | INFO | Load data to database..
2025-10-27 20:10:05,656 | INFO | Load success..

2025-10-27 20:11:02,981 | INFO | Extracting data from url..
2025-10-27 20:11:04,261 | INFO | Extracting successful..
2025-10-27 20:11:04,263 | INFO | Transforming data..
2025-10-27 20:11:04,263 | INFO | Load data to database..
2025-10-27 20:11:04,296 | INFO | Load success..

2025-10-27 20:12:02,630 | INFO | Extracting data from url..
2025-10-27 20:12:03,932 | INFO | Extracting successful..
2025-10-27 20:12:03,934 | INFO | Transforming data..
2025-10-27 20:12:03,934 | INFO | Load data to database..
2025-10-27 20:12:03,978 | INFO | Load success..

2025-10-27 20:13:02,377 | INFO | Extracting data from url..
2025-10-27 20:13:03,685 | INFO | Extracting successful..
2025-10-27 20:13:03,687 | INFO | Transforming data..
2025-10-27 20:13:03,687 | INFO | Load data to database..
2025-10-27 20:13:03,726 | INFO | Load success..

2025-10-27 20:14:03,026 | INFO | Extracting data from url..
2025-10-27 20:14:04,357 | INFO | Extracting successful..
2025-10-27 20:14:04,358 | INFO | Transforming data..
2025-10-27 20:14:04,358 | INFO | Load data to database..
2025-10-27 20:14:04,390 | INFO | Load success..

2025-10-27 20:15:02,944 | INFO | Extracting data from url..
2025-10-27 20:15:04,282 | INFO | Extracting successful..
2025-10-27 20:15:04,284 | INFO | Transforming data..
2025-10-27 20:15:04,284 | INFO | Load data to database..
2025-10-27 20:15:04,319 | INFO | Load success..

2025-10-27 20:16:02,583 | INFO | Extracting data from url..
2025-10-27 20:16:04,028 | INFO | Extracting successful..
2025-10-27 20:16:04,029 | INFO | Transforming data..
2025-10-27 20:16:04,029 | INFO | Load data to database..
2025-10-27 20:16:04,056 | INFO | Load success..

2025-10-27 20:17:02,405 | INFO | Extracting data from url..
2025-10-27 20:17:03,817 | INFO | Extracting successful..
2025-10-27 20:17:03,818 | INFO | Transforming data..
2025-10-27 20:17:03,819 | INFO | Load data to database..
2025-10-27 20:17:03,850 | INFO | Load success..

2025-10-27 20:18:02,080 | INFO | Extracting data from url..
2025-10-27 20:18:03,509 | INFO | Extracting successful..
2025-10-27 20:18:03,510 | INFO | Transforming data..
2025-10-27 20:18:03,511 | INFO | Load data to database..
2025-10-27 20:18:03,542 | INFO | Load success..

2025-10-27 20:19:02,895 | INFO | Extracting data from url..
2025-10-27 20:19:04,250 | INFO | Extracting successful..
2025-10-27 20:19:04,251 | INFO | Transforming data..
2025-10-27 20:19:04,251 | INFO | Load data to database..
2025-10-27 20:19:04,285 | INFO | Load success..

2025-10-27 20:20:02,551 | INFO | Extracting data from url..
2025-10-27 20:20:04,051 | INFO | Extracting successful..
2025-10-27 20:20:04,052 | INFO | Transforming data..
2025-10-27 20:20:04,053 | INFO | Load data to database..
2025-10-27 20:20:04,080 | INFO | Load success..

2025-10-27 20:21:02,396 | INFO | Extracting data from url..
2025-10-27 20:21:03,744 | INFO | Extracting successful..
2025-10-27 20:21:03,745 | INFO | Transforming data..
2025-10-27 20:21:03,745 | INFO | Load data to database..
2025-10-27 20:21:03,778 | INFO | Load success..

2025-10-27 20:22:02,199 | INFO | Extracting data from url..
2025-10-27 20:22:03,338 | INFO | Extracting successful..
2025-10-27 20:22:03,339 | INFO | Transforming data..
2025-10-27 20:22:03,340 | INFO | Load data to database..
2025-10-27 20:22:03,371 | INFO | Load success..

2025-10-27 20:23:02,837 | INFO | Extracting data from url..
2025-10-27 20:23:04,327 | INFO | Extracting successful..
2025-10-27 20:23:04,328 | INFO | Transforming data..
2025-10-27 20:23:04,329 | INFO | Load data to database..
2025-10-27 20:23:04,361 | INFO | Load success..

2025-10-27 20:24:02,749 | INFO | Extracting data from url..
2025-10-27 20:24:04,105 | INFO | Extracting successful..
2025-10-27 20:24:04,107 | INFO | Transforming data..
2025-10-27 20:24:04,107 | INFO | Load data to database..
2025-10-27 20:24:04,136 | INFO | Load success..

2025-10-27 20:25:02,430 | INFO | Extracting data from url..
2025-10-27 20:25:03,912 | INFO | Extracting successful..
2025-10-27 20:25:03,913 | INFO | Transforming data..
2025-10-27 20:25:03,913 | INFO | Load data to database..
2025-10-27 20:25:03,950 | INFO | Load success..

2025-10-27 20:26:02,268 | INFO | Extracting data from url..
2025-10-27 20:26:03,685 | INFO | Extracting successful..
2025-10-27 20:26:03,686 | INFO | Transforming data..
2025-10-27 20:26:03,686 | INFO | Load data to database..
2025-10-27 20:26:03,723 | INFO | Load success..

2025-10-27 20:27:03,058 | INFO | Extracting data from url..
2025-10-27 20:27:04,474 | INFO | Extracting successful..
2025-10-27 20:27:04,475 | INFO | Transforming data..
2025-10-27 20:27:04,475 | INFO | Load data to database..
2025-10-27 20:27:04,510 | INFO | Load success..

2025-10-27 20:28:03,419 | INFO | Extracting data from url..
2025-10-27 20:28:04,749 | INFO | Extracting successful..
2025-10-27 20:28:04,750 | INFO | Transforming data..
2025-10-27 20:28:04,750 | INFO | Load data to database..
2025-10-27 20:28:04,781 | INFO | Load success..

2025-10-27 20:29:02,655 | INFO | Extracting data from url..
2025-10-27 20:29:03,752 | INFO | Extracting successful..
2025-10-27 20:29:03,754 | INFO | Transforming data..
2025-10-27 20:29:03,754 | INFO | Load data to database..
2025-10-27 20:29:03,803 | INFO | Load success..

2025-10-27 20:30:03,555 | INFO | Extracting data from url..
2025-10-27 20:30:04,980 | INFO | Extracting successful..
2025-10-27 20:30:04,981 | INFO | Transforming data..
2025-10-27 20:30:04,982 | INFO | Load data to database..
2025-10-27 20:30:05,013 | INFO | Load success..

2025-10-27 20:31:02,506 | INFO | Extracting data from url..
2025-10-27 20:31:05,891 | INFO | Extracting successful..
2025-10-27 20:31:05,892 | INFO | Transforming data..
2025-10-27 20:31:05,892 | INFO | Load data to database..
2025-10-27 20:31:05,934 | INFO | Load success..

2025-10-27 20:32:02,457 | INFO | Extracting data from url..
2025-10-27 20:33:02,981 | INFO | Extracting data from url..
2025-10-27 20:33:04,698 | INFO | Extracting successful..
2025-10-27 20:33:04,699 | INFO | Transforming data..
2025-10-27 20:33:04,699 | INFO | Load data to database..
2025-10-27 20:33:04,756 | INFO | Load success..

2025-10-27 20:34:03,335 | INFO | Extracting data from url..
2025-10-27 20:34:04,606 | INFO | Extracting successful..
2025-10-27 20:34:04,607 | INFO | Transforming data..
2025-10-27 20:34:04,607 | INFO | Load data to database..
2025-10-27 20:34:04,641 | INFO | Load success..

2025-10-27 20:35:04,206 | INFO | Extracting data from url..
2025-10-27 20:35:05,597 | INFO | Extracting successful..
2025-10-27 20:35:05,598 | INFO | Transforming data..
2025-10-27 20:35:05,598 | INFO | Load data to database..
2025-10-27 20:35:05,637 | INFO | Load success..

2025-10-27 20:36:03,987 | INFO | Extracting data from url..
2025-10-27 20:36:05,336 | INFO | Extracting successful..
2025-10-27 20:36:05,337 | INFO | Transforming data..
2025-10-27 20:36:05,337 | INFO | Load data to database..
2025-10-27 20:36:05,401 | INFO | Load success..

2025-10-27 20:37:02,980 | INFO | Extracting data from url..
2025-10-27 20:37:04,263 | INFO | Extracting successful..
2025-10-27 20:37:04,264 | INFO | Transforming data..
2025-10-27 20:37:04,264 | INFO | Load data to database..
2025-10-27 20:37:04,296 | INFO | Load success..

2025-10-27 20:38:02,861 | INFO | Extracting data from url..
2025-10-27 20:38:03,982 | INFO | Extracting successful..
2025-10-27 20:38:03,983 | INFO | Transforming data..
2025-10-27 20:38:03,983 | INFO | Load data to database..
2025-10-27 20:38:04,024 | INFO | Load success..

